chr	start	end	TF	genic
chrIV	1317985	1317986	Abf1	False
chrVI	164896	164897	Abf1	False
chrXII	912452	912453	Abf1	False
chrXII	855710	855711	Abf1	True
chrIV	930731	930732	Abf1	False
chrXV	256225	256226	Abf1	False
chrXIV	283736	283737	Abf1	False
chrXI	500133	500134	Abf1	False
chrXIV	350114	350115	Abf1	True
chrVII	548345	548346	Abf1	True
chrIV	1125228	1125229	Abf1	False
chrII	535088	535089	Abf1	False
chrIV	62241	62242	Abf1	True
chrXI	499947	499948	Abf1	False
chrIV	1055031	1055032	Abf1	False
chrVIII	164871	164872	Abf1	False
chrXVI	792558	792559	Abf1	False
chrXV	722747	722748	Abf1	True
chrXVI	795592	795593	Abf1	True
chrIII	164330	164331	Abf1	True
chrVII	727555	727556	Abf1	True
chrIV	1196430	1196431	Abf1	False
chrVI	225150	225151	Abf1	True
chrVII	859691	859692	Abf1	False
chrVII	1027143	1027144	Abf1	False
chrIX	292354	292355	Abf1	False
chrX	449078	449079	Abf1	False
chrXII	504180	504181	Abf1	True
chrVI	210241	210242	Abf1	False
chrXIII	244012	244013	Abf1	True
chrXII	127397	127398	Abf1	False
chrXI	82777	82778	Abf1	False
chrII	75075	75076	Abf1	False
chrI	61170	61171	Abf1	False
chrXVI	678845	678846	Abf1	False
chrVII	601495	601496	Abf1	False
chrIV	172329	172330	Abf1	False
chrXIV	174770	174771	Abf1	False
chrXIII	397814	397815	Abf1	False
chrII	392541	392542	Abf1	False
chrXIII	337639	337640	Abf1	False
chrIV	190728	190729	Abf1	False
chrXV	780751	780752	Abf1	False
chrXIV	507479	507480	Abf1	False
chrVII	272086	272087	Abf1	True
chrIV	242169	242170	Abf1	False
chrXI	513107	513108	Abf1	True
chrXII	605124	605125	Abf1	False
chrVIII	209409	209410	Abf1	False
chrXVI	641563	641564	Abf1	False
chrIV	1087424	1087425	Abf1	False
chrVII	23457	23458	Abf1	False
chrVII	699929	699930	Abf1	False
chrII	770764	770765	Abf1	False
chrIV	1277457	1277458	Abf1	False
chrVII	996723	996724	Abf1	False
chrVIII	98313	98314	Abf1	False
chrXV	380828	380829	Abf1	False
chrII	770740	770741	Abf1	False
chrXII	47657	47658	Abf1	False
chrXI	125619	125620	Abf1	False
chrXV	233914	233915	Abf1	False
chrXI	385255	385256	Abf1	False
chrVII	607254	607255	Abf1	False
chrVII	974656	974657	Abf1	True
chrV	409553	409554	Abf1	False
chrXIV	58026	58027	Abf1	False
chrXI	99902	99903	Abf1	False
chrIX	113433	113434	Abf1	False
chrXVI	822168	822169	Abf1	False
chrVII	750259	750260	Abf1	False
chrIV	1020505	1020506	Abf1	False
chrXIV	695457	695458	Abf1	False
chrVII	428336	428337	Abf1	False
chrXIV	160517	160518	Abf1	False
chrXV	606329	606330	Abf1	False
chrII	159967	159968	Abf1	False
chrXI	429150	429151	Abf1	False
chrXV	761423	761424	Abf1	True
chrXI	327970	327971	Abf1	False
chrX	684396	684397	Abf1	False
chrXIV	707650	707651	Abf1	False
chrIV	1328633	1328634	Abf1	True
chrVIII	227289	227290	Abf1	False
chrII	299989	299990	Abf1	False
chrI	45325	45326	Abf1	False
chrIV	251403	251404	Abf1	False
chrXIV	408184	408185	Abf1	False
chrIV	836225	836226	Abf1	False
chrXVI	901678	901679	Abf1	False
chrXI	571308	571309	Abf1	False
chrI	108795	108796	Abf1	False
chrXIII	527657	527658	Abf1	False
chrIV	1031820	1031821	Abf1	False
chrVII	867650	867651	Abf1	False
chrX	407415	407416	Abf1	True
chrXIV	622779	622780	Abf1	False
chrXV	544498	544499	Abf1	False
chrXV	544516	544517	Abf1	False
chrXIV	515067	515068	Abf1	False
chrIII	24644	24645	Abf1	False
chrXV	817142	817143	Abf1	False
chrIV	1386656	1386657	Abf1	False
chrV	422083	422084	Abf1	True
chrXVI	828427	828428	Abf1	False
chrXII	514949	514950	Abf1	False
chrII	258154	258155	Abf1	False
chrXIII	659362	659363	Abf1	False
chrX	663269	663270	Abf1	True
chrIV	636207	636208	Abf1	True
chrXV	631922	631923	Abf1	False
chrVIII	422555	422556	Abf1	False
chrXV	921406	921407	Abf1	False
chrIII	216497	216498	Abf1	False
chrII	47270	47271	Abf1	False
chrXIV	466730	466731	Abf1	False
chrXII	795231	795232	Abf1	False
chrVII	596358	596359	Abf1	False
chrXIII	790003	790004	Abf1	False
chrXV	970117	970118	Abf1	False
chrXIV	167963	167964	Abf1	False
chrVIII	284743	284744	Abf1	False
chrX	683832	683833	Abf1	False
chrVII	131400	131401	Abf1	False
chrXIII	701335	701336	Abf1	False
chrX	94686	94687	Abf1	False
chrVIII	50863	50864	Abf1	False
chrIII	65724	65725	Abf1	False
chrXIV	694174	694175	Abf1	False
chrXV	738157	738158	Abf1	False
chrVII	848279	848280	Abf1	True
chrXVI	736827	736828	Abf1	False
chrXI	525190	525191	Abf1	False
chrII	682062	682063	Abf1	False
chrXV	216486	216487	Abf1	False
chrXI	21500	21501	Abf1	False
chrXII	924816	924817	Abf1	False
chrIV	1367327	1367328	Abf1	False
chrX	415893	415894	Abf1	False
chrXVI	594029	594030	Abf1	False
chrXVI	911121	911122	Abf1	False
chrIV	1490754	1490755	Abf1	True
chrXII	796707	796708	Abf1	True
chrXV	1009828	1009829	Abf1	False
chrXII	721647	721648	Abf1	False
chrIV	121868	121869	Abf1	False
chrX	640516	640517	Abf1	False
chrIX	285357	285358	Abf1	False
chrVII	625363	625364	Abf1	True
chrXIII	241909	241910	Abf1	False
chrII	647330	647331	Abf1	False
chrIX	96737	96738	Abf1	False
chrXI	578396	578397	Abf1	True
chrVII	280689	280690	Abf1	False
chrX	703731	703732	Abf1	False
chrV	404528	404529	Abf1	False
chrVIII	55470	55471	Abf1	True
chrXVI	113996	113997	Abf1	True
chrX	604369	604370	Abf1	False
chrXIV	413359	413360	Abf1	False
chrXII	125142	125143	Abf1	False
chrXIII	675375	675376	Abf1	False
chrVII	306429	306430	Abf1	False
chrVIII	341630	341631	Abf1	False
chrXIV	140638	140639	Abf1	False
chrXII	384650	384651	Abf1	False
chrV	491225	491226	Abf1	False
chrXII	581893	581894	Abf1	False
chrIII	262824	262825	Abf1	False
chrVII	465604	465605	Abf1	False
chrVI	58393	58394	Abf1	False
chrXII	921597	921598	Abf1	False
chrIV	341288	341289	Abf1	False
chrII	615465	615466	Abf1	True
chrX	623436	623437	Abf1	False
chrIV	848059	848060	Abf1	False
chrV	382363	382364	Abf1	False
chrXI	93455	93456	Abf1	False
chrXIV	624520	624521	Abf1	True
chrIV	1289028	1289029	Abf1	False
chrXI	385624	385625	Abf1	False
chrXII	838655	838656	Abf1	True
chrIV	1385909	1385910	Abf1	False
chrVIII	267376	267377	Abf1	False
chrXIII	453862	453863	Abf1	False
chrXI	469520	469521	Abf1	False
chrXI	361981	361982	Abf1	False
chrXI	402248	402249	Abf1	False
chrVII	76540	76541	Abf1	False
chrVII	482230	482231	Abf1	True
chrXVI	701756	701757	Abf1	True
chrXV	472343	472344	Abf1	True
chrIV	272057	272058	Abf1	False
chrX	83895	83896	Abf1	False
chrXII	1043740	1043741	Abf1	False
chrIX	261038	261039	Abf1	False
chrIV	848188	848189	Abf1	True
chrXV	1003354	1003355	Abf1	False
chrIV	87361	87362	Abf1	False
chrVII	1058960	1058961	Abf1	False
chrXI	263203	263204	Abf1	False
chrII	478785	478786	Abf1	True
chrVI	224986	224987	Abf1	False
chrIV	1402852	1402853	Abf1	False
chrXIII	742861	742862	Abf1	False
chrXIV	48157	48158	Abf1	False
chrV	225475	225476	Abf1	False
chrV	85261	85262	Abf1	True
chrXIII	831587	831588	Abf1	False
chrXV	117567	117568	Abf1	False
chrV	509988	509989	Abf1	False
chrX	555062	555063	Abf1	False
chrXIV	283866	283867	Abf1	False
chrIX	348977	348978	Abf1	False
chrXV	780492	780493	Abf1	False
chrVIII	422655	422656	Abf1	False
chrIV	652517	652518	Abf1	False
chrIII	61526	61527	Abf1	False
chrXVI	892210	892211	Abf1	False
chrXIV	500566	500567	Abf1	False
chrII	145975	145976	Abf1	False
chrXIII	434440	434441	Abf1	False
chrVI	103345	103346	Abf1	False
chrIV	452838	452839	Abf1	False
chrIX	399664	399665	Abf1	False
chrIV	1276524	1276525	Abf1	False
chrXIV	247281	247282	Abf1	False
chrXII	232466	232467	Abf1	True
chrXVI	656688	656689	Abf1	False
chrIV	228989	228990	Abf1	False
chrVII	481781	481782	Abf1	True
chrXIII	424827	424828	Abf1	False
chrXIII	861334	861335	Abf1	False
chrIV	716756	716757	Abf1	False
chrXII	720497	720498	Abf1	False
chrXVI	554466	554467	Abf1	False
chrXII	665227	665228	Abf1	False
chrXVI	251915	251916	Abf1	False
chrX	207703	207704	Abf1	False
chrXVI	75298	75299	Abf1	False
chrXVI	277702	277703	Abf1	False
chrX	312834	312835	Abf1	False
chrXVI	701332	701333	Abf1	True
chrIV	198549	198550	Abf1	False
chrII	394218	394219	Abf1	True
chrXV	772336	772337	Abf1	False
chrXIII	408074	408075	Abf1	True
chrXIII	271991	271992	Abf1	False
chrXIII	272010	272011	Abf1	False
chrXI	176633	176634	Abf1	False
chrXV	643292	643293	Abf1	True
chrIV	501660	501661	Abf1	False
chrXI	554793	554794	Abf1	False
chrIV	542197	542198	Abf1	False
chrIV	1489223	1489224	Abf1	False
chrXVI	529482	529483	Abf1	False
chrXVI	666163	666164	Abf1	True
chrXII	862399	862400	Abf1	False
chrII	297944	297945	Abf1	False
chrXVI	257323	257324	Abf1	True
chrIX	399485	399486	Abf1	False
chrX	83749	83750	Abf1	True
chrXIII	408397	408398	Abf1	True
chrX	521899	521900	Abf1	False
chrXV	83342	83343	Abf1	False
chrI	124681	124682	Abf1	False
chrXV	722733	722734	Abf1	True
chrVII	729868	729869	Abf1	False
chrXI	99848	99849	Abf1	False
chrIV	1127707	1127708	Abf1	False
chrIV	1277472	1277473	Abf1	False
chrVI	90463	90464	Abf1	False
chrVII	883150	883151	Abf1	True
chrXVI	118131	118132	Abf1	False
chrXIII	245921	245922	Abf1	False
chrVII	953665	953666	Abf1	False
chrXII	65597	65598	Abf1	False
chrII	478401	478402	Abf1	True
chrIV	497542	497543	Abf1	False
chrXIII	245739	245740	Abf1	True
chrXII	539787	539788	Abf1	False
chrVII	148231	148232	Abf1	True
chrXI	359919	359920	Abf1	False
chrVII	141882	141883	Abf1	False
chrXII	838280	838281	Abf1	True
chrXIII	396694	396695	Abf1	False
chrXV	274475	274476	Abf1	False
chrVII	780042	780043	Abf1	False
chrXIII	275914	275915	Abf1	False
chrXIV	559443	559444	Abf1	False
chrII	477916	477917	Abf1	True
chrXII	469858	469859	Abf1	True
chrVII	76599	76600	Abf1	False
chrVII	364281	364282	Abf1	False
chrXII	1027968	1027969	Abf1	False
chrVI	183226	183227	Abf1	True
chrXVI	643664	643665	Abf1	False
chrXII	826728	826729	Abf1	False
chrXV	733607	733608	Abf1	False
chrII	392477	392478	Abf1	False
chrXIV	723314	723315	Abf1	False
chrXV	436623	436624	Abf1	False
chrX	683868	683869	Abf1	False
chrIV	836183	836184	Abf1	False
chrXV	745479	745480	Abf1	False
chrV	512336	512337	Abf1	False
chrXIV	668222	668223	Abf1	False
chrXV	592711	592712	Abf1	False
chrXIII	668334	668335	Abf1	False
chrXIV	545085	545086	Abf1	False
chrXIII	517359	517360	Abf1	False
chrIX	166182	166183	Abf1	False
chrXII	637961	637962	Abf1	True
chrX	421804	421805	Abf1	False
chrXIII	760343	760344	Abf1	True
chrXIII	408218	408219	Abf1	True
chrXV	511422	511423	Abf1	False
chrXIV	289630	289631	Abf1	True
chrXII	523473	523474	Abf1	False
chrXV	988488	988489	Abf1	True
chrXII	658352	658353	Abf1	False
chrIX	226407	226408	Abf1	False
chrXVI	700817	700818	Abf1	True
chrX	136500	136501	Abf1	True
chrVIII	236379	236380	Abf1	True
chrXIV	217609	217610	Abf1	True
chrII	458530	458531	Abf1	False
chrII	786979	786980	Abf1	False
chrIII	279959	279960	Abf1	False
chrVII	67444	67445	Abf1	False
chrVII	277732	277733	Abf1	True
chrXIV	174656	174657	Abf1	False
chrII	87978	87979	Abf1	False
chrX	291895	291896	Abf1	True
chrXVI	339601	339602	Abf1	False
chrIV	1224638	1224639	Abf1	False
chrXIV	366606	366607	Abf1	False
chrX	335727	335728	Abf1	False
chrXI	513291	513292	Abf1	False
chrV	435655	435656	Abf1	False
chrXI	551521	551522	Abf1	False
chrXII	486742	486743	Abf1	True
chrXV	70181	70182	Abf1	True
chrXVI	118170	118171	Abf1	False
chrIV	894016	894017	Abf1	False
chrVII	547531	547532	Abf1	False
chrIV	1002374	1002375	Abf1	False
chrXV	898526	898527	Abf1	False
chrIII	294620	294621	Abf1	True
chrXV	218755	218756	Abf1	False
chrXV	823724	823725	Abf1	True
chrXV	259758	259759	Abf1	False
chrV	343366	343367	Abf1	True
chrIX	308078	308079	Abf1	False
chrXIV	405743	405744	Abf1	False
chrV	492302	492303	Abf1	False
chrVII	277995	277996	Abf1	True
chrXI	39016	39017	Abf1	False
chrXVI	411918	411919	Abf1	False
chrV	302494	302495	Abf1	False
chrXIII	872741	872742	Abf1	False
chrV	268523	268524	Abf1	False
chrXV	511366	511367	Abf1	False
chrXII	1014055	1014056	Abf1	True
chrXIII	220471	220472	Abf1	True
chrXIV	251838	251839	Abf1	False
chrXVI	874996	874997	Abf1	False
chrVI	40453	40454	Abf1	True
chrVI	74941	74942	Abf1	True
chrXV	649091	649092	Abf1	False
chrVII	423008	423009	Abf1	False
chrVI	54325	54326	Abf1	True
chrXII	253424	253425	Abf1	False
chrVIII	190287	190288	Abf1	False
chrXIII	408491	408492	Abf1	True
chrXII	921445	921446	Abf1	True
chrXII	483090	483091	Abf1	True
chrIV	1293261	1293262	Abf1	False
chrII	401017	401018	Abf1	False
chrII	101372	101373	Abf1	False
chrXV	472522	472523	Abf1	True
chrXI	38328	38329	Abf1	False
chrXI	80703	80704	Abf1	False
chrIII	292792	292793	Abf1	False
chrIX	212252	212253	Abf1	False
chrVIII	102493	102494	Abf1	False
chrXII	193569	193570	Abf1	False
chrXVI	99166	99167	Abf1	False
chrII	136208	136209	Abf1	True
chrXIV	295826	295827	Abf1	False
chrIV	221315	221316	Abf1	False
chrIX	355520	355521	Abf1	False
chrVII	609764	609765	Abf1	False
chrVIII	122501	122502	Abf1	False
chrIII	47055	47056	Abf1	False
chrVIII	451935	451936	Abf1	True
chrXII	473510	473511	Abf1	True
chrI	141788	141789	Abf1	False
chrXI	408334	408335	Abf1	False
chrIII	294810	294811	Abf1	False
chrIX	96545	96546	Abf1	True
chrIV	43793	43794	Abf1	False
chrXVI	834413	834414	Abf1	False
chrXII	202887	202888	Abf1	False
chrXV	444344	444345	Abf1	False
chrX	608245	608246	Abf1	False
chrV	192093	192094	Abf1	True
chrXI	69070	69071	Abf1	True
chrIV	1267149	1267150	Abf1	False
chrI	45447	45448	Abf1	False
chrVIII	34298	34299	Abf1	False
chrXVI	246765	246766	Abf1	False
chrVII	271458	271459	Abf1	True
chrXII	198926	198927	Abf1	False
chrVII	56280	56281	Abf1	False
chrIV	611948	611949	Abf1	False
chrXV	1018995	1018996	Abf1	False
chrXI	288721	288722	Abf1	False
chrXVI	899956	899957	Abf1	False
chrXI	38866	38867	Abf1	False
chrV	194111	194112	Abf1	True
chrX	415815	415816	Abf1	False
chrVIII	48163	48164	Abf1	False
chrXII	764420	764421	Abf1	False
chrXIV	417712	417713	Abf1	False
chrXIV	413414	413415	Abf1	False
chrVI	103817	103818	Abf1	True
chrVII	278594	278595	Abf1	False
chrVIII	56244	56245	Abf1	False
chrVII	277327	277328	Abf1	False
chrIV	427080	427081	Abf1	False
chrII	203188	203189	Abf1	True
chrVII	596249	596250	Abf1	False
chrVIII	143614	143615	Abf1	False
chrVII	1022036	1022037	Abf1	True
chrXIV	662435	662436	Abf1	False
chrIV	1429487	1429488	Abf1	True
chrXV	252920	252921	Abf1	False
chrXIII	268034	268035	Abf1	False
chrXII	260717	260718	Abf1	False
chrXI	75507	75508	Abf1	True
chrXVI	106742	106743	Abf1	True
chrXV	522766	522767	Abf1	False
chrXI	397143	397144	Abf1	True
chrIV	952577	952578	Abf1	False
chrXII	424295	424296	Abf1	True
chrIV	114478	114479	Abf1	False
chrII	618688	618689	Abf1	False
chrIX	77868	77869	Abf1	False
chrVI	56160	56161	Abf1	False
chrX	466990	466991	Abf1	True
chrX	651383	651384	Abf1	False
chrV	69184	69185	Abf1	True
chrXII	722686	722687	Abf1	False
chrVII	383306	383307	Abf1	False
chrXII	187528	187529	Abf1	False
chrXII	1014339	1014340	Abf1	False
chrII	662735	662736	Abf1	True
chrVIII	116070	116071	Abf1	False
chrXII	871388	871389	Abf1	False
chrVIII	34660	34661	Abf1	False
chrVII	922028	922029	Abf1	False
chrVII	190231	190232	Abf1	True
chrV	167579	167580	Abf1	False
chrI	29863	29864	Abf1	False
chrXII	1043524	1043525	Abf1	False
chrX	120121	120122	Abf1	False
chrIX	96808	96809	Abf1	False
chrVII	278230	278231	Abf1	True
chrXVI	746959	746960	Abf1	False
chrXII	789951	789952	Abf1	False
chrV	559198	559199	Abf1	False
chrI	70954	70955	Abf1	False
chrXI	112640	112641	Abf1	False
chrX	293189	293190	Abf1	True
chrXI	581372	581373	Abf1	False
chrX	227298	227299	Abf1	False
chrIV	909548	909549	Abf1	False
chrXV	109488	109489	Abf1	True
chrXVI	462397	462398	Abf1	False
chrIV	746385	746386	Abf1	False
chrIV	1172204	1172205	Abf1	False
chrIII	14602	14603	Abf1	False
chrIV	1206547	1206548	Abf1	False
chrXVI	207677	207678	Abf1	False
chrXVI	297284	297285	Abf1	False
chrXIII	664386	664387	Abf1	False
chrIV	340358	340359	Abf1	False
chrVIII	55749	55750	Abf1	True
chrX	555759	555760	Abf1	False
chrV	337775	337776	Abf1	False
chrXV	727202	727203	Abf1	True
chrIV	1319177	1319178	Abf1	True
chrXII	787500	787501	Abf1	False
chrIV	1388638	1388639	Abf1	False
chrIV	304962	304963	Abf1	False
chrIV	369355	369356	Abf1	False
chrII	668608	668609	Abf1	False
chrIV	1011657	1011658	Abf1	True
chrXI	418271	418272	Abf1	False
chrXIV	720880	720881	Abf1	False
chrVII	148092	148093	Abf1	False
chrXIV	350172	350173	Abf1	True
chrXI	140885	140886	Abf1	False
chrXI	322624	322625	Abf1	False
chrX	150755	150756	Abf1	False
chrXI	134244	134245	Abf1	False
chrVII	971883	971884	Abf1	True
chrVI	164719	164720	Abf1	True
chrXII	73090	73091	Abf1	True
chrX	160181	160182	Abf1	False
chrII	337504	337505	Abf1	True
chrX	647128	647129	Abf1	True
chrIII	228889	228890	Abf1	False
chrXVI	639187	639188	Abf1	False
chrIV	1490996	1490997	Abf1	False
chrXVI	802087	802088	Abf1	False
chrIII	240674	240675	Abf1	False
chrVII	635763	635764	Abf1	True
chrXVI	215196	215197	Abf1	False
chrXI	188858	188859	Abf1	False
chrIV	310347	310348	Abf1	False
chrXII	704584	704585	Abf1	True
chrXI	519005	519006	Abf1	False
chrX	159848	159849	Abf1	False
chrXII	787682	787683	Abf1	True
chrVII	452055	452056	Abf1	True
chrXII	48591	48592	Abf1	True
chrV	39651	39652	Abf1	False
chrIV	930766	930767	Abf1	False
chrIX	212492	212493	Abf1	False
chrXV	487082	487083	Abf1	False
chrXV	487211	487212	Abf1	False
chrXII	919161	919162	Abf1	False
chrXVI	431867	431868	Abf1	False
chrVI	210516	210517	Abf1	False
chrIV	1367217	1367218	Abf1	False
chrVIII	461563	461564	Abf1	False
chrXVI	645105	645106	Abf1	True
chrIV	512540	512541	Abf1	False
chrIII	164237	164238	Abf1	True
chrVIII	228963	228964	Abf1	True
chrIV	1331051	1331052	Abf1	False
chrXIII	895628	895629	Abf1	False
chrIV	1195306	1195307	Abf1	False
chrII	495474	495475	Abf1	False
chrXIV	723071	723072	Abf1	True
chrVIII	206207	206208	Abf1	False
chrV	140679	140680	Abf1	True
chrXIII	873032	873033	Abf1	False
chrV	208754	208755	Abf1	False
chrV	100543	100544	Abf1	False
chrXV	128655	128656	Abf1	False
chrV	281101	281102	Abf1	False
chrVII	475376	475377	Abf1	False
chrXIV	254924	254925	Abf1	True
chrXVI	497842	497843	Abf1	False
chrIV	952729	952730	Abf1	False
chrIV	589581	589582	Abf1	False
chrIV	217391	217392	Abf1	False
chrXII	16114	16115	Abf1	False
chrIV	1169076	1169077	Abf1	False
chrXV	386426	386427	Abf1	False
chrIV	512376	512377	Abf1	False
chrXI	382391	382392	Abf1	True
chrX	525891	525892	Abf1	False
chrIV	808044	808045	Abf1	False
chrXII	65887	65888	Abf1	True
chrIII	163652	163653	Abf1	True
chrXV	723438	723439	Abf1	True
chrXI	66222	66223	Abf1	True
chrVI	183315	183316	Abf1	True
chrXII	670143	670144	Abf1	False
chrII	782455	782456	Abf1	False
chrIX	289142	289143	Abf1	False
chrIV	442842	442843	Abf1	False
chrVII	939816	939817	Abf1	False
chrIV	600084	600085	Abf1	False
chrXI	69635	69636	Abf1	True
chrXIV	425146	425147	Abf1	True
chrIV	363586	363587	Abf1	False
chrIX	289280	289281	Abf1	True
chrIX	173765	173766	Abf1	False
chrVII	592097	592098	Abf1	True
chrX	587511	587512	Abf1	False
chrXIV	604844	604845	Abf1	False
chrI	189358	189359	Abf1	False
chrXVI	919338	919339	Abf1	False
chrXII	407194	407195	Abf1	False
chrXVI	919186	919187	Abf1	False
chrXV	1083813	1083814	Abf1	False
chrI	71182	71183	Abf1	False
chrXIII	490857	490858	Abf1	True
chrXII	48918	48919	Abf1	False
chrIV	1063060	1063061	Abf1	False
chrV	363522	363523	Abf1	True
chrVIII	337607	337608	Abf1	True
chrXV	978580	978581	Abf1	False
chrVIII	122666	122667	Abf1	True
chrII	651190	651191	Abf1	True
chrXV	480017	480018	Abf1	True
chrIV	867863	867864	Abf1	False
chrVIII	217975	217976	Abf1	False
chrXIV	255190	255191	Abf1	False
chrXIV	708373	708374	Abf1	False
chrVIII	218143	218144	Abf1	False
chrXI	397388	397389	Abf1	True
chrIV	1490337	1490338	Abf1	False
chrXII	808973	808974	Abf1	False
chrIV	106975	106976	Abf1	True
chrXIV	424691	424692	Abf1	False
chrIX	207305	207306	Abf1	True
chrXII	932912	932913	Abf1	False
chrXIV	619892	619893	Abf1	False
chrI	132257	132258	Abf1	True
chrVII	401408	401409	Abf1	False
chrX	295046	295047	Abf1	True
chrX	524711	524712	Abf1	False
chrIV	512183	512184	Abf1	False
chrXVI	520467	520468	Abf1	False
chrXI	538202	538203	Abf1	True
chrXIV	355634	355635	Abf1	False
chrIV	304727	304728	Abf1	True
chrX	526007	526008	Abf1	False
chrII	193620	193621	Abf1	False
chrXIII	664628	664629	Abf1	False
chrXVI	99424	99425	Abf1	False
chrX	651228	651229	Abf1	True
chrXV	712692	712693	Abf1	False
chrIV	1388767	1388768	Abf1	False
chrVI	95146	95147	Abf1	False
chrVII	397967	397968	Abf1	False
chrXIV	471430	471431	Abf1	True
chrII	767935	767936	Abf1	False
chrII	100276	100277	Abf1	True
chrVII	180690	180691	Abf1	False
chrII	364874	364875	Abf1	True
chrIV	1245028	1245029	Abf1	True
chrIV	1195095	1195096	Abf1	False
chrXVI	918942	918943	Abf1	True
chrXI	339043	339044	Abf1	False
chrIV	1050386	1050387	Abf1	False
chrIV	212820	212821	Abf1	False
chrIV	1429954	1429955	Abf1	True
chrVII	180566	180567	Abf1	False
chrVII	443482	443483	Ace2	False
chrVIII	384926	384927	Ace2	False
chrII	556038	556039	Ace2	False
chrII	555935	555936	Ace2	False
chrXII	710739	710740	Ace2	False
chrVII	483502	483503	Ace2	True
chrIII	29313	29314	Ace2	False
chrII	555826	555827	Ace2	False
chrV	409430	409431	Ace2	False
chrVII	483578	483579	Ace2	True
chrVII	576738	576739	Ace2	False
chrV	409410	409411	Ace2	False
chrXIV	759426	759427	Ace2	False
chrIV	234470	234471	Ace2	False
chrXII	710610	710611	Ace2	False
chrIII	29468	29469	Ace2	False
chrIV	357313	357314	Ace2	False
chrIII	29120	29121	Ace2	False
chrX	703509	703510	Ace2	False
chrX	294173	294174	Ace2	False
chrXII	370580	370581	Ace2	True
chrVIII	384946	384947	Ace2	False
chrVI	95701	95702	Ace2	False
chrVII	443679	443680	Ace2	True
chrX	703618	703619	Ace2	False
chrXV	904158	904159	Ace2	False
chrX	294432	294433	Ace2	False
