gene	native_motif	source	fitted	w_native	jaspar_motif	rossi_sample	replicate	condition	heat_shock	rossi_motif	rossi_E	rossi_logE	rossi_nsites	power	e_rank	e_gap_log10	n_motifs_in_sample	e_ambiguous	ed_native_jaspar	kl_native_jaspar	ed_native_rossi	kl_native_rossi	ed_jaspar_rossi	kl_jaspar_rossi	w_jaspar	w_rossi	w_window	w_shortest	window_anchor	n_dropped	window_cost_kl	off_native	orient_native	off_jaspar	orient_jaspar	off_rossi	orient_rossi	odd_one_out	margin_kl	verdict	rep_n_reps	rep_consensus	rep_n_consensus	rep_n_native_odd	rep_n_rossi_odd	rep_n_heat_shock	rep_max_nsites	rep_unanimous
PDR1	Pdr1_badis	badis		7	PDR1_jaspar_MA0352.3	16586	rep1	normal	no	PDR1_rossi_16586_m1	0.0000	-7.8539	8	weak	1		1		0.1792	0.1070	0.1535	0.1060	0.1036	0.0392	10	15	7	7	native	0	0.0000	0	+	-2	+	-2	-	native	0.0668	native_is_odd	2	native_is_odd	2	2	0	0	57	yes
RAP1	Rap1_motif1	other		13	RAP1_jaspar_MA0359.3	11765	rep1	normal	no	RAP1_rossi_11765_m1	0.0000	-500.0000	200	strong	1	445.3010	3	no	0.2526	0.1548	0.1699	0.0752	0.1029	0.0316	12	16	12	12	jaspar	0	0.0000	-1	+	0	+	-3	-	native	0.0437	native_is_odd	3	native_is_odd	2	2	0	0	200	no
RAP1	Rap1_motif1	other		13	RAP1_jaspar_MA0359.3	15258	rep2	normal	no	RAP1_rossi_15258_m1	0.0000	-500.0000	200	strong	1	445.8921	2	no	0.2526	0.1548	0.1867	0.0906	0.0897	0.0263	12	17	12	12	jaspar	0	0.0005	-1	+	0	+	-4	-	native	0.0643	native_is_odd	3	native_is_odd	2	2	0	0	200	no
RAP1	Rap1_motif1	other		13	RAP1_jaspar_MA0359.3	19998	rep3	normal	no	RAP1_rossi_19998_m1	0.0000	-500.0000	196	strong	1	488.5563	3	no	0.2526	0.1548	0.1393	0.0608	0.1388	0.0495	12	15	12	12	jaspar	0	0.0019	-1	+	0	+	-3	-	native	0.0114	ambiguous	3	native_is_odd	2	2	0	0	200	no
CAD1	Cad1_murphy	murphy		11	CAD1_jaspar_MA0279.3	20421	rep2	normal	no	CAD1_rossi_20421_m1	0.0000	-61.1308	64	moderate	1	57.6079	2	no	0.1638	0.0893	0.2119	0.1304	0.0604	0.0170	11	11	10	11	native	1	0.0170	0	+	-1	+	-1	-	native	0.0723	native_is_odd	2	native_is_odd	1	1	0	0	64	no
CAD1	Cad1_murphy	murphy		11	CAD1_jaspar_MA0279.3	14777	rep1	normal	no	CAD1_rossi_14777_m1	0.0000	-11.4089	10	weak	1		1		0.1652	0.0831	0.2845	0.2338	0.1303	0.0689	11	10	10	10	rossi	0	0.0000	-1	+	0	-	0	-	native	0.0142	no_consensus	2	native_is_odd	1	1	0	0	64	no
ACE2	Ace2_badis	badis		9	ACE2_jaspar_MA0267.2	16021	rep1	normal	no	ACE2_rossi_16021_m1	0.0000	-19.2924	30	moderate	1	16.5935	3	no	0.0408	0.0136	0.6553	0.9997	0.6509	0.9941	5	21	5	5	jaspar	0	0.2366	-2	+	0	+	-11	-	rossi	0.9805	rossi_is_odd	2	rossi_is_odd	2	0	2	0	40	yes
ACE2	Ace2_badis	badis		9	ACE2_jaspar_MA0267.2	17958	rep2	normal	no	ACE2_rossi_17958_m1	0.0000	-8.4318	40	moderate	1		1		0.0408	0.0136	0.5531	0.6484	0.5331	0.6115	5	15	5	5	jaspar	0	0.0000	-2	+	0	+	-7	-	rossi	0.5980	rossi_is_odd	2	rossi_is_odd	2	0	2	0	40	yes
AZF1	Azf1_badis	badis		9	AZF1_jaspar_MA0277.1	17773	rep1	normal	no	AZF1_rossi_17773_m1	0.0000	-26.6383	13	weak	1		1		0.0174	0.0026	0.1956	0.1748	0.1869	0.1785	9	13	9	9	native	0	0.0000	0	+	0	+	-2	+	rossi	0.1722	rossi_is_odd	2	rossi_is_odd	2	0	2	0	15	yes
AZF1	Azf1_badis	badis		9	AZF1_jaspar_MA0277.1	19305	rep2	normal	no	AZF1_rossi_19305_m1	0.0000	-25.2366	15	weak	1		1		0.0174	0.0026	0.1905	0.1602	0.1878	0.1653	9	13	9	9	native	0	0.0000	0	+	0	+	-2	-	rossi	0.1576	rossi_is_odd	2	rossi_is_odd	2	0	2	0	15	yes
BAS1	Bas1_zhu	zhu		12	BAS1_jaspar_MA0278.2	12018	rep1	normal	no	BAS1_rossi_12018_m1	0.0000	-35.3010	28	weak	1	17.0086	3	no	0.0012	0.0000	0.5829	0.9703	0.5832	0.9723	12	15	12	12	native	0	0.0000	0	+	0	+	-2	-	rossi	0.9703	rossi_is_odd	2	rossi_is_odd	2	0	2	0	28	yes
BAS1	Bas1_zhu	zhu		12	BAS1_jaspar_MA0278.2	15649	rep2	normal	no	BAS1_rossi_15649_m1	0.0000	-25.4559	16	weak	1	20.0357	2	no	0.0012	0.0000	0.5706	0.9842	0.5709	0.9861	12	15	12	12	native	0	0.0000	0	+	0	+	-2	-	rossi	0.9842	rossi_is_odd	2	rossi_is_odd	2	0	2	0	28	yes
CHA4	Cha4_zhu	zhu		9	CHA4_jaspar_MA0283.1	20422	rep2	normal	no	CHA4_rossi_20422_m1	0.0000	-4.4202	10	weak	1		1		0.0864	0.0317	0.2640	0.2603	0.2434	0.2770	8	18	7	8	jaspar	1	0.0366	-1	+	0	-	-11	+	rossi	0.2285	rossi_is_odd	2	rossi_is_odd	2	0	2	0	10	yes
CHA4	Cha4_zhu	zhu		9	CHA4_jaspar_MA0283.1	12003	rep1	normal	no	CHA4_rossi_12003_m1	0.0036	-2.4437	6	weak	1		1		0.0954	0.0392	0.1469	0.1233	0.1803	0.1906	8	19	8	8	jaspar	0	0.0000	-1	+	0	-	-11	-	rossi	0.0841	rossi_is_odd	2	rossi_is_odd	2	0	2	0	10	yes
FHL1	Fhl1_zhu	zhu	yes	8	FHL1_jaspar_MA0295.2	8944	rep2	normal	no	FHL1_rossi_8944_m1	0.0000	-22.2518	29	weak	1	14.5071	3	no	0.0572	0.0261	0.4828	0.8458	0.5003	0.9194	6	15	6	6	jaspar	0	0.0000	0	+	0	+	-9	+	rossi	0.8197	rossi_is_odd	2	rossi_is_odd	2	0	2	0	32	yes
FHL1	Fhl1_zhu	zhu	yes	8	FHL1_jaspar_MA0295.2	8938	rep1	normal	no	FHL1_rossi_8938_m1	0.0000	-14.6198	32	moderate	1	5.1880	3	no	0.0572	0.0261	0.6256	0.8302	0.6697	0.9838	6	21	6	6	jaspar	0	0.0277	0	+	0	+	-7	+	rossi	0.8041	rossi_is_odd	2	rossi_is_odd	2	0	2	0	32	yes
FKH1	Fkh1_zhu	zhu	yes	10	FKH1_jaspar_MA0296.2	11289	rep2	normal	no	FKH1_rossi_11289_m1	0.0000	-263.9208	195	strong	1	260.7959	2	no	0.0017	0.0000	0.1476	0.0822	0.1482	0.0829	13	15	10	10	native	0	0.0044	0	+	-3	+	-3	-	rossi	0.0822	rossi_is_odd	2	rossi_is_odd	2	0	2	0	195	yes
FKH1	Fkh1_zhu	zhu	yes	10	FKH1_jaspar_MA0296.2	11009	rep1	normal	no	FKH1_rossi_11009_m1	0.0000	-243.6576	174	strong	1		1		0.0017	0.0000	0.1264	0.0624	0.1270	0.0630	13	15	10	10	native	0	0.0000	0	+	-3	+	-3	-	rossi	0.0624	rossi_is_odd	2	rossi_is_odd	2	0	2	0	195	yes
FKH2	Fkh2_zhu	zhu		9	FKH2_jaspar_MA0297.1	17968	rep2	normal	no	FKH2_rossi_17968_m1	0.0000	-75.6990	90	moderate	1		1		0.0660	0.0354	0.1375	0.0886	0.1906	0.1558	7	15	7	7	jaspar	0	0.0000	0	+	0	+	-8	+	rossi	0.0532	rossi_is_odd	2	rossi_is_odd	1	0	1	0	90	no
FKH2	Fkh2_zhu	zhu		9	FKH2_jaspar_MA0297.1	10542	rep1	normal	no	FKH2_rossi_10542_m1	0.0000	-22.4559	14	weak	1	20.1719	2	no	0.0660	0.0354	0.0490	0.0103	0.0944	0.0735	7	21	7	7	jaspar	0	0.0000	0	+	0	+	-14	+	jaspar	0.0251	ambiguous	2	rossi_is_odd	1	0	1	0	90	no
FZF1	Fzf1_badis	badis		6	FZF1_jaspar_MA2701.1	13138	rep1	normal	no	FZF1_rossi_13138_m1	0.0094	-2.0269	11	weak	1		1		0.0156	0.0036	0.6672	1.1185	0.6652	1.1078	7	15	5	6	native	1	-0.0039	0	+	0	+	-10	-	rossi	1.1042	rossi_is_odd	1	rossi_is_odd	1	0	1	0	11	yes
GIS1	Gis1_badis	badis		7	GIS1_jaspar_MA0306.2	15794	rep1	normal	no	GIS1_rossi_15794_m1	0.0025	-2.6021	7	weak	1		1		0.0385	0.0105	0.7635	1.3989	0.7674	1.4735	6	21	5	6	jaspar	1	0.3479	0	+	0	+	-16	+	rossi	1.3884	rossi_is_odd	2	rossi_is_odd	1	0	1	0	15	no
GIS1	Gis1_badis	badis		7	GIS1_jaspar_MA0306.2	17040	rep2	normal	no	GIS1_rossi_17040_m1	0.0120	-1.9208	15	weak	1		1		0.1108	0.0726	0.3537	0.4875	0.3521	0.5384	6	15	6	6	jaspar	0	0.0000	0	+	0	+	-2	-	rossi	0.4149	no_consensus	2	rossi_is_odd	1	0	1	0	15	no
HSF1	Hsf1_badis	badis		7	HSF1_jaspar_MA0319.2	23755	rep5	6 min heat shock	yes	HSF1_rossi_23755_m1	0.0000	-255.4815	182	strong	1	243.5607	2	no	0.0196	0.0029	0.3182	0.2794	0.3136	0.2747	7	15	7	7	native	0	0.0000	0	+	0	+	-8	-	rossi	0.2718	rossi_is_odd	3	rossi_is_odd	3	0	3	2	149	yes
HSF1	Hsf1_badis	badis		7	HSF1_jaspar_MA0319.2	23750	rep4	normal	no	HSF1_rossi_23750_m1	0.0000	-155.3979	149	strong	1	144.0414	2	no	0.0196	0.0029	0.2839	0.2312	0.2870	0.2279	7	15	7	7	native	0	0.0000	0	+	0	+	-8	+	rossi	0.2250	rossi_is_odd	3	rossi_is_odd	3	0	3	2	149	yes
HSF1	Hsf1_badis	badis		7	HSF1_jaspar_MA0319.2	8581	rep1	normal	no	HSF1_rossi_8581_m1	0.0000	-92.8539	63	moderate	1		1		0.0196	0.0029	0.2525	0.1674	0.2577	0.1738	7	16	7	7	native	0	0.0000	0	+	0	+	0	+	rossi	0.1645	rossi_is_odd	3	rossi_is_odd	3	0	3	2	149	yes
HSF1	Hsf1_badis	badis		7	HSF1_jaspar_MA0319.2	10406	rep3	6 min heat shock	yes	HSF1_rossi_10406_m1	0.0000	-84.8539	78	moderate	1		1		0.0196	0.0029	0.3187	0.2692	0.3194	0.2722	7	15	7	7	native	0	0.0000	0	+	0	+	-8	+	rossi	0.2663	rossi_is_odd	3	rossi_is_odd	3	0	3	2	149	yes
HSF1	Hsf1_badis	badis		7	HSF1_jaspar_MA0319.2	10401	rep2	normal	no	HSF1_rossi_10401_m1	0.0001	-4.1871	27	weak	1		1		0.0196	0.0029	0.3638	0.3209	0.3735	0.3444	7	21	7	7	native	0	0.0000	0	+	0	+	-5	-	rossi	0.3180	rossi_is_odd	3	rossi_is_odd	3	0	3	2	149	yes
LYS14	Lys14_zhu	zhu		9	LYS14_jaspar_MA0325.2	14428	rep1	normal	no	LYS14_rossi_14428_m1	0.0000	-45.2676	19	weak	1		1		0.0806	0.0483	0.1224	0.1122	0.1446	0.1020	7	18	7	7	jaspar	0	0.0000	-1	+	0	-	-3	-	rossi	0.0537	rossi_is_odd	2	rossi_is_odd	2	0	2	0	21	yes
LYS14	Lys14_zhu	zhu		9	LYS14_jaspar_MA0325.2	14817	rep2	normal	no	LYS14_rossi_14817_m1	0.0000	-45.0315	21	weak	1		1		0.0806	0.0483	0.1550	0.1351	0.1867	0.1565	7	16	7	7	jaspar	0	0.0000	-1	+	0	-	-1	-	rossi	0.0868	rossi_is_odd	2	rossi_is_odd	2	0	2	0	21	yes
MET32	Met32_badis	badis		6	MET32_jaspar_MA0334.2	12464	rep1	normal	no	MET32_rossi_12464_m1	0.0000	-10.5086	13	weak	1	7.0000	2	no	0.0180	0.0025	0.1089	0.0823	0.0943	0.0783	6	12	6	6	native	0	0.0000	0	+	0	+	-3	+	rossi	0.0757	rossi_is_odd	1	rossi_is_odd	1	0	1	0	13	yes
MIG2	Mig2_zhu	zhu		11	MIG2_jaspar_MA0338.2	18493	rep2	normal	no	MIG2_rossi_18493_m1	0.0000	-13.9586	53	moderate	1	0.8931	2	yes	0.0733	0.0353	0.8749	1.6298	0.8645	1.6863	6	11	5	6	jaspar	1	0.0890	-2	+	0	+	-6	+	rossi	1.5945	rossi_is_odd	2	rossi_is_odd	2	0	2	0	53	yes
MIG2	Mig2_zhu	zhu		11	MIG2_jaspar_MA0338.2	18493	rep2	normal	no	MIG2_rossi_18493_m2	0.0000	-13.0655	30	moderate	2	0.8931	2	yes	0.0948	0.0460	0.1013	0.0443	0.1185	0.0728	6	14	6	6	jaspar	0	0.0000	-2	+	0	+	-6	+	jaspar	0.0017	ambiguous	2	rossi_is_odd	2	0	2	0	53	yes
MIG2	Mig2_zhu	zhu		11	MIG2_jaspar_MA0338.2	12946	rep1	normal	no	MIG2_rossi_12946_m1	0.0000	-12.4949	42	moderate	1	10.3078	2	no	0.0948	0.0460	0.9614	1.8006	0.9136	1.6193	6	11	6	6	jaspar	0	0.3965	-2	+	0	+	-2	-	rossi	1.5733	rossi_is_odd	2	rossi_is_odd	2	0	2	0	53	yes
PHD1	Phd1_zhu	zhu		9	PHD1_jaspar_MA0355.2	17018	rep2	normal	no	PHD1_rossi_17018_m1	0.0000	-10.3872	23	weak	1	6.9057	2	no	0.1326	0.0527	0.3943	0.4138	0.4632	0.5005	6	17	6	6	jaspar	0	0.0000	0	+	0	+	-5	-	rossi	0.3611	rossi_is_odd	1	rossi_is_odd	1	0	1	0	23	yes
PUT3	Put3_badis	badis		6	PUT3_jaspar_MA0358.2	26016	rep2	normal	no	PUT3_rossi_26016_m1	0.0000	-12.8239	11	weak	1		1		0.0232	0.0033	0.3453	0.4255	0.3363	0.4471	6	19	6	6	native	0	0.0000	0	+	0	+	-1	-	rossi	0.4222	rossi_is_odd	2	rossi_is_odd	2	0	2	0	11	yes
PUT3	Put3_badis	badis		6	PUT3_jaspar_MA0358.2	12872	rep1	normal	no	PUT3_rossi_12872_m1	0.0001	-4.0915	11	weak	1		1		0.0232	0.0033	0.3824	0.4267	0.3920	0.4602	6	19	6	6	native	0	0.0000	0	+	0	+	-1	-	rossi	0.4234	rossi_is_odd	2	rossi_is_odd	2	0	2	0	11	yes
RFX1	Rfx1_badis	badis		7	RFX1_jaspar_MA0365.2	12938	rep1	normal	no	RFX1_rossi_12938_m1	0.0000	-39.7959	22	weak	1		1		0.0215	0.0035	0.1376	0.0678	0.1513	0.0817	7	15	7	7	native	0	0.0000	0	+	0	+	-1	+	rossi	0.0643	rossi_is_odd	1	rossi_is_odd	1	0	1	0	22	yes
ROX1	Rox1_badis	badis		5	ROX1_jaspar_MA0371.1	18502	rep2	normal	no	ROX1_rossi_18502_m1	0.0008	-3.0915	9	weak	1		1		0.0734	0.0396	0.4855	0.8526	0.4651	0.8430	12	21	5	5	native	0	0.0000	0	+	-4	-	-6	+	rossi	0.8033	rossi_is_odd	1	rossi_is_odd	1	0	1	0	9	yes
RPH1	Rph1_badis	badis		9	RPH1_jaspar_MA0372.2	17854	rep2	normal	no	RPH1_rossi_17854_m1	0.0005	-3.3188	27	weak	1		1		0.0782	0.0317	0.6465	0.8969	0.6823	1.0514	7	15	7	7	jaspar	0	0.0202	-2	+	0	+	-4	+	rossi	0.8652	rossi_is_odd	1	rossi_is_odd	1	0	1	0	27	yes
RPN4	Rpn4_badis	badis		7	RPN4_jaspar_MA0373.1	11941	rep1	normal	no	RPN4_rossi_11941_m1	0.0000	-62.8239	38	moderate	1		1		0.0249	0.0041	0.2153	0.2247	0.2120	0.2265	7	12	7	7	native	0	0.0000	0	+	0	+	-1	-	rossi	0.2206	rossi_is_odd	2	rossi_is_odd	2	0	2	0	38	yes
RPN4	Rpn4_badis	badis		7	RPN4_jaspar_MA0373.1	13807	rep2	normal	no	RPN4_rossi_13807_m1	0.0000	-37.0000	19	weak	1		1		0.0249	0.0041	0.1930	0.1663	0.1888	0.1644	7	11	7	7	native	0	0.0000	0	+	0	+	-1	+	rossi	0.1604	rossi_is_odd	2	rossi_is_odd	2	0	2	0	38	yes
RSC3	Rsc3_zhu	zhu		8	RSC3_jaspar_MA0374.2	15815	rep3	6 min heat shock	yes	RSC3_rossi_15815_m1	0.0000	-41.7696	66	moderate	1	30.2747	2	no	0.3210	0.3660	0.6971	1.0082	0.8574	1.5971	5	11	5	5	jaspar	0	0.3398	-4	+	0	+	1	-	rossi	0.6422	no_consensus	2	rossi_is_odd	2	0	2	2	39	yes
RSC3	Rsc3_zhu	zhu		8	RSC3_jaspar_MA0374.2	19678	rep4	6 min heat shock	yes	RSC3_rossi_19678_m1	0.0000	-41.0000	66	moderate	1	35.3802	2	no	0.1056	0.0564	0.8898	1.7371	0.9344	1.8101	5	11	4	5	jaspar	1	0.2003	1	+	0	-	1	-	rossi	1.6806	rossi_is_odd	2	rossi_is_odd	2	0	2	2	39	yes
RSC3	Rsc3_zhu	zhu		8	RSC3_jaspar_MA0374.2	11848	rep1	normal	no	RSC3_rossi_11848_m1	0.0000	-11.4437	39	moderate	1		1		0.1056	0.0564	0.9330	1.7350	0.9893	1.9017	5	8	4	5	jaspar	1	0.0303	1	+	0	-	1	-	rossi	1.6786	rossi_is_odd	2	rossi_is_odd	2	0	2	2	39	yes
RSC3	Rsc3_zhu	zhu		8	RSC3_jaspar_MA0374.2	15808	rep2	normal	no	RSC3_rossi_15808_m1	0.0043	-2.3665	27	weak	1		1		0.1056	0.0564	0.6631	0.8250	0.7181	1.0472	5	15	4	5	jaspar	1	0.0303	1	+	0	-	1	-	rossi	0.7686	rossi_is_odd	2	rossi_is_odd	2	0	2	2	39	yes
SFL1	Sfl1_zhu	zhu		10	SFL1_jaspar_MA0377.2	14977	rep2	normal	no	SFL1_rossi_14977_m1	0.0000	-9.6198	35	moderate	1	7.6198	2	no	0.0010	0.0000	0.4788	0.5822	0.4790	0.5830	10	11	10	10	native	0	0.0000	0	+	0	+	0	-	rossi	0.5822	rossi_is_odd	2	rossi_is_odd	2	0	2	0	35	yes
SFL1	Sfl1_zhu	zhu		10	SFL1_jaspar_MA0377.2	14459	rep1	normal	no	SFL1_rossi_14459_m1	0.0004	-3.4318	28	weak	1		1		0.0011	0.0000	0.6605	1.0948	0.6612	1.0975	10	11	8	10	native	2	0.1495	0	+	0	+	2	-	rossi	1.0948	rossi_is_odd	2	rossi_is_odd	2	0	2	0	35	yes
SFP1	Sfp1_zhu	zhu		10	SFP1_jaspar_MA0378.2	12450	rep1	normal	no	SFP1_rossi_12450_m1	0.0000	-45.0177	35	moderate	1	34.0969	3	no	0.0012	0.0000	0.5466	0.8077	0.5472	0.8094	10	15	8	10	native	2	0.0000	0	+	0	+	-7	-	rossi	0.8077	rossi_is_odd	1	rossi_is_odd	1	0	1	0	35	yes
SOK2	Sok2_badis	badis		8	SOK2_jaspar_MA0385.2	12009	rep1	normal	no	SOK2_rossi_12009_m1	0.0000	-15.2147	44	moderate	1	8.3608	3	no	0.1206	0.0426	0.8416	1.3853	0.7715	1.1622	6	11	6	6	jaspar	0	0.0342	-1	+	0	-	-5	-	rossi	1.1196	rossi_is_odd	2	rossi_is_odd	2	0	2	0	44	yes
SOK2	Sok2_badis	badis		8	SOK2_jaspar_MA0385.2	13809	rep2	normal	no	SOK2_rossi_13809_m1	0.0000	-10.8539	37	moderate	1	8.7347	2	no	0.1206	0.0426	0.7707	1.5276	0.6882	1.2459	6	11	6	6	jaspar	0	0.0280	-1	+	0	-	-1	-	rossi	1.2033	rossi_is_odd	2	rossi_is_odd	2	0	2	0	44	yes
SPT15	Spt15_zhu	zhu	yes	9	SPT15_jaspar_MA0386.2	20001	rep4	normal	no	SPT15_rossi_20001_m2	0.0000	-26.6383	69	moderate	1	3.2065	3	no	0.0013	0.0000	0.6168	0.8553	0.6178	0.8589	11	21	9	9	native	0	0.0829	0	+	-2	+	-7	-	rossi	0.8553	rossi_is_odd	3	rossi_is_odd	3	0	3	1	69	yes
SPT15	Spt15_zhu	zhu	yes	9	SPT15_jaspar_MA0386.2	8599	rep1	normal	no	SPT15_rossi_8599_m1	0.0000	-14.2518	47	moderate	1	7.8081	3	no	0.0013	0.0000	0.5239	0.6542	0.5248	0.6574	11	21	9	9	native	0	0.0000	0	+	-2	+	-6	+	rossi	0.6542	rossi_is_odd	3	rossi_is_odd	3	0	3	1	69	yes
SPT15	Spt15_zhu	zhu	yes	9	SPT15_jaspar_MA0386.2	8602	rep3	normal	no	SPT15_rossi_8602_m1	0.0000	-12.9208	13	weak	1	4.0969	3	no	0.0013	0.0000	0.6083	0.9094	0.6092	0.9146	11	21	9	9	native	0	0.0270	0	+	-2	+	-3	+	rossi	0.9094	rossi_is_odd	3	rossi_is_odd	3	0	3	1	69	yes
SPT15	Spt15_zhu	zhu	yes	9	SPT15_jaspar_MA0386.2	8600	rep2	3 min heat shock	yes	SPT15_rossi_8600_m1	0.0000	-10.6021	29	weak	1	7.0934	2	no	0.1068	0.0510	0.6325	1.0887	0.5700	0.9856	11	15	8	9	native	1	0.1195	0	+	1	-	-4	-	rossi	0.9347	rossi_is_odd	3	rossi_is_odd	3	0	3	1	69	yes
STB3	Stb3_zhu	zhu		11	STB3_jaspar_MA0390.2	17886	rep2	normal	no	STB3_rossi_17886_m1	0.0000	-23.6198	25	weak	1	9.6612	2	no	0.0012	0.0000	0.6458	1.0412	0.6465	1.0445	11	15	9	11	native	2	0.0000	0	+	0	+	2	+	rossi	1.0411	rossi_is_odd	2	rossi_is_odd	2	0	2	0	25	yes
