chr	start	end	name	v	strand	in_body	near_rna	d_tss	d_end	in_prom	in_end	subtel	cls_prom_first	cls_body_first	ambiguous	n_pass	n_seen	best_fold	best_logp	has_motif
chrIV	403555	403556	chr4_403555_403556	1000	.	False	False	-264.0	139.0	True	True	False	promoter	promoter	True	3	3	4.209	-423.579	True
chrXII	82180	82181	chr12_82180_82181	1000	.	True	False	720.0	-1530.0	False	False	False	gene body	gene body	False	3	3	3.603	-521.7	True
chrII	146016	146017	chr2_146016_146017	1000	.	False	False	-170.0	-869.0	True	False	False	promoter	promoter	False	3	3	4.61	-666.408	True
chrIX	113541	113542	chr9_113541_113542	1000	.	False	False	-264.0	-3363.0	True	False	False	promoter	promoter	False	0	0			False
chrVIII	255947	255948	chr8_255947_255948	1000	.	False	False	-191.0	-2071.0	True	False	False	promoter	promoter	False	2	2	4.527	-435.557	True
chrXIV	187884	187885	chr14_187884_187885	1000	.	False	False	-166.0	-715.0	True	False	False	promoter	promoter	False	3	3	4.282	-599.582	True
chrXII	704664	704665	chr12_704664_704665	1000	.	True	False	169.0	-34.0	False	True	False	gene end	gene body	True	3	3	5.383	-653.08	True
chrIII	258758	258759	chr3_258758_258759	1000	.	False	False	-107.0	104.0	True	True	False	promoter	promoter	True	3	3	4.207	-398.215	True
chrX	54257	54258	chr10_54257_54258	1000	.	True	False	33.0	74.0	True	True	False	promoter	gene body	True	3	3	4.62	-562.793	True
chrIX	375263	375264	chr9_375263_375264	1000	.	False	False	-167.0	403.0	True	False	False	promoter	promoter	False	2	2	4.216	-387.293	True
chrXIV	400693	400694	chr14_400693_400694	1000	.	False	False	-156.0	339.0	True	False	False	promoter	promoter	False	2	2	4.113	-447.156	True
chrVII	81346	81347	chr7_81346_81347	1000	.	False	False	-160.0	79.0	True	True	False	promoter	promoter	True	2	2	4.007	-349.226	True
chrXVI	482093	482094	chr16_482093_482094	1000	.	False	False	-192.0	-666.0	True	False	False	promoter	promoter	False	3	3	4.471	-475.216	True
chrXII	921572	921573	chr12_921572_921573	1000	.	True	False	24.0	599.0	True	False	False	promoter	gene body	True	3	3	4.131	-435.928	True
chrXI	75681	75682	chr11_75681_75682	1000	.	False	False	-139.0	-750.0	True	False	False	promoter	promoter	False	3	3	3.92	-544.139	True
chrV	123484	123485	chr5_123484_123485	1000	.	False	False	-172.0	-687.0	True	False	False	promoter	promoter	False	3	3	4.298	-425.744	True
chrXV	413711	413712	chr15_413711_413712	1000	.	False	False	-140.0	231.0	True	True	False	promoter	promoter	True	2	2	3.967	-401.918	True
chrIV	330857	330858	chr4_330857_330858	1000	.	True	False	-166.0	-192.0	True	False	False	promoter	gene body	True	3	3	3.869	-514.032	True
chrXII	332282	332283	chr12_332282_332283	1000	.	False	False	-167.0	-2606.0	True	False	False	promoter	promoter	False	3	3	4.845	-518.964	True
chrXII	194278	194279	chr12_194278_194279	1000	.	False	False	-173.0	-896.0	True	False	False	promoter	promoter	False	3	3	3.455	-429.772	True
chrIV	431633	431634	chr4_431633_431634	1000	.	False	False	-116.0	-526.0	True	False	False	promoter	promoter	False	3	3	3.68	-456.883	True
chrVII	905547	905548	chr7_905547_905548	1000	.	True	False	311.0	-136.0	False	False	False	gene body	gene body	False	3	3	5.247	-574.174	True
chrXIV	405794	405795	chr14_405794_405795	1000	.	False	False	-230.0	-2228.0	True	False	False	promoter	promoter	False	3	3	4.479	-583.847	True
chrIV	1150644	1150645	chr4_1150644_1150645	1000	.	False	True	-124.0	-539.0	True	False	False	promoter	promoter	False	3	3	3.581	-539.398	True
chrVI	54475	54476	chr6_54475_54476	1000	.	True	False	221.0	890.0	False	False	False	gene body	gene body	False	3	3	3.561	-473.592	True
chrV	387030	387031	chr5_387030_387031	1000	.	False	False	-201.0	-765.0	True	False	False	promoter	promoter	False	3	3	4.335	-508.719	True
chrIV	73456	73457	chr4_73456_73457	1000	.	True	False	462.0	989.0	False	False	False	gene body	gene body	False	3	3	4.736	-438.66	True
chrXV	99584	99585	chr15_99584_99585	1000	.	False	False	-224.0	96.0	True	True	False	promoter	promoter	True	3	3	3.495	-439.273	True
chrV	82908	82909	chr5_82908_82909	1000	.	False	False	-305.0	141.0	True	True	False	promoter	promoter	True	3	3	3.811	-452.146	True
chrXII	198254	198255	chr12_198254_198255	1000	.	False	False	-169.0	1285.0	True	False	False	promoter	promoter	False	3	3	4.523	-447.593	True
chrI	62664	62665	chr1_62664_62665	1000	.	False	False	-175.0	101.0	True	True	False	promoter	promoter	True	3	3	3.197	-370.397	True
chrIV	1242802	1242803	chr4_1242802_1242803	1000	.	False	False	-427.0	-1599.0	True	False	False	promoter	promoter	False	3	3	4.726	-370.431	True
chrVI	40313	40314	chr6_40313_40314	1000	.	False	False	-107.0	-1471.0	True	False	False	promoter	promoter	False	3	3	4.511	-497.875	True
chrXIV	779006	779007	chr14_779006_779007	1000	.	False	False	-268.0	-1405.0	True	False	True	promoter	promoter	False	3	3	3.871	-394.466	True
chrVI	225317	225318	chr6_225317_225318	1000	.	True	False	-548.0	-298.0	False	False	False	gene body	gene body	False	3	3	5.198	-472.778	True
chrIII	103496	103497	chr3_103496_103497	1000	.	False	False	-138.0	74.0	True	True	False	promoter	promoter	True	2	2	3.369	-300.413	True
chrIV	417064	417065	chr4_417064_417065	1000	.	False	False	-356.0	598.0	True	False	False	promoter	promoter	False	3	3	4.11	-448.918	True
chrVIII	48131	48132	chr8_48131_48132	1000	.	False	False	-163.0	-2203.0	True	False	False	promoter	promoter	False	3	3	4.944	-538.04	False
chrV	167721	167722	chr5_167721_167722	1000	.	False	True	-836.0	86.0	False	True	False	gene end	gene end	False	2	2	3.429	-346.58	True
chrXV	186891	186892	chr15_186891_186892	1000	.	False	False	-132.0	-1044.0	True	False	False	promoter	promoter	False	3	3	3.604	-395.273	True
chrXI	417046	417047	chr11_417046_417047	1000	.	False	False	-133.0	461.0	True	False	False	promoter	promoter	False	2	2	3.358	-329.155	True
chrII	444885	444886	chr2_444885_444886	1000	.	False	False	-192.0	176.0	True	True	False	promoter	promoter	True	2	2	3.558	-305.165	True
chrXIII	392627	392628	chr13_392627_392628	1000	.	False	False	-112.0	-1096.0	True	False	False	promoter	promoter	False	2	2	3.605	-288.136	True
chrIV	867902	867903	chr4_867902_867903	1000	.	False	False	-321.0	-2661.0	True	False	False	promoter	promoter	False	3	3	3.957	-469.825	True
chrIV	199839	199840	chr4_199839_199840	1000	.	False	False	-107.0	-1178.0	True	False	False	promoter	promoter	False	3	3	4.002	-385.788	True
chrXIV	412620	412621	chr14_412620_412621	1000	.	False	False	-150.0	63.0	True	True	False	promoter	promoter	True	3	3	3.6	-342.469	True
chrXIII	69863	69864	chr13_69863_69864	1000	.	True	False	-137.0	-129.0	True	False	False	promoter	gene body	True	3	3	3.977	-326.239	True
chrX	316603	316604	chr10_316603_316604	1000	.	False	False	-119.0	-377.0	True	False	False	promoter	promoter	False	3	3	4.194	-381.349	True
chrXIII	104336	104337	chr13_104336_104337	1000	.	False	False	-174.0	-354.0	True	False	False	promoter	promoter	False	3	3	3.743	-462.905	True
chrXI	435100	435101	chr11_435100_435101	1000	.	False	False	-223.0	-1685.0	True	False	False	promoter	promoter	False	3	3	4.064	-350.183	True
chrVIII	498575	498576	chr8_498575_498576	1000	.	True	False	-153.0	-5.0	True	True	False	promoter	gene body	True	3	3	3.418	-290.067	True
chrXV	432019	432020	chr15_432019_432020	1000	.	False	False	-166.0	-1354.0	True	False	False	promoter	promoter	False	2	2	3.486	-304.796	True
chrXV	201935	201936	chr15_201935_201936	1000	.	False	False	-56.0	49.0	True	True	False	promoter	promoter	True	3	3	3.728	-329.315	True
chrXV	371011	371012	chr15_371011_371012	1000	.	False	False	-167.0	-488.0	True	False	False	promoter	promoter	False	3	3	4.405	-417.922	True
chrII	141106	141107	chr2_141106_141107	1000	.	False	False	-140.0	-866.0	True	False	False	promoter	promoter	False	2	2	3.836	-249.07	True
chrVII	999298	999299	chr7_999298_999299	1000	.	False	False	-158.0	-941.0	True	False	False	promoter	promoter	False	2	2	3.442	-329.76	True
chrXIV	91670	91671	chr14_91670_91671	1000	.	False	False	-323.0	246.0	True	True	False	promoter	promoter	True	3	3	4.503	-337.808	True
chrX	608118	608119	chr10_608118_608119	1000	.	False	False	-186.0	-740.0	True	False	False	promoter	promoter	False	2	2	3.861	-339.459	True
chrIV	1317985	1317986	chr4_1317985_1317986	1000	.	False	False	-212.0	60.0	True	True	False	promoter	promoter	True	2	2	3.383	-233.837	True
chrVI	164896	164897	chr6_164896_164897	1000	.	False	False	-170.0	150.0	True	True	False	promoter	promoter	True	3	3	3.575	-388.732	True
chrXII	912452	912453	chr12_912452_912453	1000	.	False	False	-142.0	97.0	True	True	False	promoter	promoter	True	2	2	3.77	-293.177	True
chrXII	855710	855711	chr12_855710_855711	1000	.	True	False	-65.0	-133.0	True	False	False	promoter	gene body	True	3	3	3.366	-366.178	True
chrIV	930731	930732	chr4_930731_930732	1000	.	False	False	-374.0	-1262.0	True	False	False	promoter	promoter	False	2	2	3.74	-396.481	True
chrXV	256225	256226	chr15_256225_256226	1000	.	False	False	-519.0	124.0	False	True	False	gene end	gene end	False	2	2	3.465	-248.851	True
chrXIV	283736	283737	chr14_283736_283737	1000	.	False	False	-523.0	727.0	False	False	False	other intergenic	other intergenic	False	2	2	3.75	-445.426	True
chrXI	500133	500134	chr11_500133_500134	1000	.	False	False	-148.0	-970.0	True	False	False	promoter	promoter	False	3	3	4.161	-442.864	True
chrXIV	350114	350115	chr14_350114_350115	1000	.	True	False	-358.0	-208.0	True	False	False	promoter	gene body	True	3	3	4.438	-395.439	True
chrVII	548345	548346	chr7_548345_548346	1000	.	True	False	82.0	876.0	True	False	False	promoter	gene body	True	3	3	3.931	-295.176	True
chrIV	1125228	1125229	chr4_1125228_1125229	1000	.	False	False	-73.0	205.0	True	True	False	promoter	promoter	True	3	3	3.652	-302.054	True
chrII	535088	535089	chr2_535088_535089	1000	.	False	False	-171.0	271.0	True	True	False	promoter	promoter	True	2	2	3.542	-229.61	True
chrIV	62241	62242	chr4_62241_62242	1000	.	True	False	231.0	2.0	False	True	False	gene end	gene body	True	3	3	4.837	-313.402	True
chrXI	499947	499948	chr11_499947_499948	1000	.	False	False	-114.0	-1156.0	True	False	False	promoter	promoter	False	3	3	3.562	-346.501	True
chrIV	1055031	1055032	chr4_1055031_1055032	1000	.	False	False	-180.0	-861.0	True	False	False	promoter	promoter	False	3	3	3.986	-324.329	True
chrVIII	164871	164872	chr8_164871_164872	1000	.	False	False	-160.0	106.0	True	True	False	promoter	promoter	True	3	3	4.019	-284.603	True
chrXVI	792558	792559	chr16_792558_792559	1000	.	False	False	-128.0	815.0	True	False	False	promoter	promoter	False	3	3	3.953	-331.124	True
chrXV	722747	722748	chr15_722747_722748	1000	.	True	False	-163.0	139.0	True	True	False	promoter	gene body	True	3	3	5.253	-519.914	True
chrXVI	795592	795593	chr16_795592_795593	1000	.	True	False	628.0	-175.0	False	False	False	gene body	gene body	False	2	3	2.46	-215.981	True
chrIII	164330	164331	chr3_164330_164331	1000	.	True	False	-474.0	-220.0	True	False	False	promoter	gene body	True	2	2	3.36	-229.324	True
chrVII	727555	727556	chr7_727555_727556	1000	.	True	False	582.0	-175.0	False	False	False	gene body	gene body	False	3	3	2.415	-204.885	True
chrIV	1196430	1196431	chr4_1196430_1196431	1000	.	False	False	-167.0	248.0	True	True	False	promoter	promoter	True	2	2	3.797	-236.539	True
chrVI	225150	225151	chr6_225150_225151	1000	.	True	False	-381.0	-131.0	True	False	False	promoter	gene body	True	3	3	4.757	-687.125	True
chrVII	859691	859692	chr7_859691_859692	1000	.	False	False	-215.0	209.0	True	True	False	promoter	promoter	True	3	3	4.033	-330.282	True
chrVII	1027143	1027144	chr7_1027143_1027144	1000	.	False	False	-226.0	181.0	True	True	False	promoter	promoter	True	3	3	4.896	-355.613	True
chrIX	292354	292355	chr9_292354_292355	1000	.	False	False	-37.0	-394.0	True	False	False	promoter	promoter	False	2	2	3.299	-206.268	True
chrX	449078	449079	chr10_449078_449079	1000	.	False	False	-123.0	-602.0	True	False	False	promoter	promoter	False	2	2	3.307	-212.933	True
chrXII	504180	504181	chr12_504180_504181	1000	.	True	False	-410.0	-67.0	True	True	False	promoter	gene body	True	3	3	4.22	-264.267	True
chrVI	210241	210242	chr6_210241_210242	1000	.	False	True	-173.0	-1829.0	True	False	False	promoter	promoter	False	3	3	4.198	-302.321	True
chrXIII	244012	244013	chr13_244012_244013	1000	.	True	False	-136.0	-52.0	True	True	False	promoter	gene body	True	3	3	4.412	-299.226	True
chrXII	127397	127398	chr12_127397_127398	1000	.	False	False	-125.0	142.0	True	True	False	promoter	promoter	True	3	3	3.484	-252.798	True
chrXI	82777	82778	chr11_82777_82778	1000	.	False	False	-169.0	138.0	True	True	False	promoter	promoter	True	3	3	5.224	-302.611	True
chrII	75075	75076	chr2_75075_75076	1000	.	False	False	-183.0	-2006.0	True	False	False	promoter	promoter	False	2	2	3.607	-220.657	True
chrI	61170	61171	chr1_61170_61171	1000	.	False	False	-118.0	60.0	True	True	False	promoter	promoter	True	2	2	3.453	-193.712	True
chrXVI	678845	678846	chr16_678845_678846	1000	.	False	False	-105.0	-525.0	True	False	False	promoter	promoter	False	3	3	4.182	-333.226	True
chrVII	601495	601496	chr7_601495_601496	1000	.	False	False	-165.0	354.0	True	False	False	promoter	promoter	False	3	3	3.854	-290.704	True
chrIV	172329	172330	chr4_172329_172330	1000	.	False	False	148.0	16.0	False	True	False	gene end	gene end	False	3	3	5.5	-306.47	True
chrXIV	174770	174771	chr14_174770_174771	1000	.	False	False	-455.0	-2183.0	True	False	False	promoter	promoter	False	2	2	3.543	-307.761	True
chrXIII	397814	397815	chr13_397814_397815	1000	.	False	False	-88.0	18.0	True	True	False	promoter	promoter	True	3	3	3.892	-245.819	True
chrII	392541	392542	chr2_392541_392542	1000	.	False	False	-248.0	-737.0	True	False	False	promoter	promoter	False	3	3	4.505	-557.235	True
chrXIII	337639	337640	chr13_337639_337640	1000	.	False	False	-148.0	36.0	True	True	False	promoter	promoter	True	3	3	3.928	-287.118	True
chrIV	190728	190729	chr4_190728_190729	1000	.	False	False	-142.0	-1533.0	True	False	False	promoter	promoter	False	3	3	4.264	-287.673	True
chrXV	780751	780752	chr15_780751_780752	1000	.	False	True	-154.0	567.0	True	False	False	promoter	promoter	False	2	2	2.131	-169.616	True
chrXIV	507479	507480	chr14_507479_507480	1000	.	False	False	-278.0	-1223.0	True	False	False	promoter	promoter	False	3	3	4.807	-306.379	True
chrVII	272086	272087	chr7_272086_272087	1000	.	True	False	-433.0	-53.0	True	True	False	promoter	gene body	True	3	3	4.862	-425.234	True
chrIV	242169	242170	chr4_242169_242170	1000	.	False	False	-382.0	329.0	True	False	False	promoter	promoter	False	2	2	3.755	-181.057	True
chrXI	513107	513108	chr11_513107_513108	1000	.	True	True	52.0	-1109.0	True	False	False	promoter	gene body	True	0	0			False
chrXII	605124	605125	chr12_605124_605125	1000	.	False	True	-337.0	245.0	True	True	False	promoter	promoter	True	3	3	3.449	-284.352	True
chrVIII	209409	209410	chr8_209409_209410	1000	.	False	False	-65.0	106.0	True	True	False	promoter	promoter	True	3	3	3.559	-304.351	True
chrXVI	641563	641564	chr16_641563_641564	1000	.	False	False	-644.0	605.0	False	False	False	other intergenic	other intergenic	False	3	3	4.593	-388.756	True
chrIV	1087424	1087425	chr4_1087424_1087425	1000	.	False	False	-156.0	431.0	True	False	False	promoter	promoter	False	3	3	3.717	-263.18	True
chrVII	23457	23458	chr7_23457_23458	1000	.	False	False	-477.0	254.0	True	True	True	promoter	promoter	True	3	3	4.472	-384.956	True
chrVII	699929	699930	chr7_699929_699930	1000	.	False	False	-143.0	-941.0	True	False	False	promoter	promoter	False	3	3	4.632	-272.407	True
chrII	770764	770765	chr2_770764_770765	1000	.	False	False	-349.0	-1822.0	True	False	False	promoter	promoter	False	3	3	4.722	-593.89	True
chrIV	1277457	1277458	chr4_1277457_1277458	1000	.	False	False	-188.0	-804.0	True	False	False	promoter	promoter	False	2	2	3.708	-325.959	True
chrVII	996723	996724	chr7_996723_996724	1000	.	False	False	-145.0	494.0	True	False	False	promoter	promoter	False	3	3	3.812	-245.775	True
chrVIII	98313	98314	chr8_98313_98314	1000	.	False	False	-376.0	29.0	True	True	False	promoter	promoter	True	3	3	3.347	-300.292	True
chrXV	380828	380829	chr15_380828_380829	1000	.	False	False	-224.0	22.0	True	True	False	promoter	promoter	True	3	3	3.568	-309.435	True
chrII	770740	770741	chr2_770740_770741	1000	.	False	False	-325.0	-1798.0	True	False	False	promoter	promoter	False	3	3	4.722	-593.89	True
chrXII	47657	47658	chr12_47657_47658	1000	.	False	False	-194.0	201.0	True	True	False	promoter	promoter	True	3	3	2.851	-235.395	True
chrXI	125619	125620	chr11_125619_125620	1000	.	False	False	-139.0	76.0	True	True	False	promoter	promoter	True	2	2	3.385	-186.262	True
chrXV	233914	233915	chr15_233914_233915	1000	.	False	True	-278.0	-1469.0	True	False	False	promoter	promoter	False	3	3	3.302	-287.546	True
chrXI	385255	385256	chr11_385255_385256	1000	.	False	False	-502.0	-1951.0	False	False	False	other intergenic	other intergenic	False	3	3	4.67	-379.239	True
chrVII	607254	607255	chr7_607254_607255	1000	.	False	False	-308.0	111.0	True	True	False	promoter	promoter	True	2	2	3.616	-181.057	True
chrVII	974656	974657	chr7_974656_974657	1000	.	True	False	121.0	-80.0	False	True	False	gene end	gene body	True	3	3	4.567	-319.512	True
chrV	409553	409554	chr5_409553_409554	1000	.	False	False	-490.0	-2212.0	True	False	False	promoter	promoter	False	3	3	3.722	-196.201	True
chrXIV	58026	58027	chr14_58026_58027	1000	.	False	False	-128.0	-782.0	True	False	False	promoter	promoter	False	3	3	4.645	-304.315	True
chrXI	99902	99903	chr11_99902_99903	1000	.	False	False	-768.0	261.0	False	True	False	gene end	gene end	False	3	3	4.361	-373.382	True
chrIX	113433	113434	chr9_113433_113434	1000	.	False	False	-196.0	-3471.0	True	False	False	promoter	promoter	False	3	3	4.408	-967.958	True
chrXVI	822168	822169	chr16_822168_822169	1000	.	False	True	-451.0	-2170.0	True	False	False	promoter	promoter	False	3	3	3.182	-200.91	True
chrVII	750259	750260	chr7_750259_750260	1000	.	False	False	-140.0	-788.0	True	False	False	promoter	promoter	False	2	2	3.326	-176.649	True
chrIV	1020505	1020506	chr4_1020505_1020506	1000	.	False	False	-241.0	85.0	True	True	False	promoter	promoter	True	2	2	3.486	-187.098	True
chrXIV	695457	695458	chr14_695457_695458	1000	.	False	False	-130.0	-406.0	True	False	False	promoter	promoter	False	3	3	3.95	-197.448	True
chrVII	428336	428337	chr7_428336_428337	1000	.	False	False	-264.0	-1040.0	True	False	False	promoter	promoter	False	3	3	4.562	-298.91	True
chrXIV	160517	160518	chr14_160517_160518	1000	.	False	False	-144.0	113.0	True	True	False	promoter	promoter	True	2	2	3.503	-174.116	True
chrXV	606329	606330	chr15_606329_606330	1000	.	False	False	-158.0	151.0	True	True	False	promoter	promoter	True	2	2	3.188	-203.136	True
chrII	159967	159968	chr2_159967_159968	1000	.	False	False	-216.0	-1312.0	True	False	False	promoter	promoter	False	3	3	3.804	-326.59	True
chrXI	429150	429151	chr11_429150_429151	1000	.	False	False	-151.0	-958.0	True	False	False	promoter	promoter	False	3	3	4.334	-247.349	True
chrXV	761423	761424	chr15_761423_761424	1000	.	True	False	32.0	190.0	True	True	False	promoter	gene body	True	3	3	4.824	-231.701	True
chrXI	327970	327971	chr11_327970_327971	1000	.	False	False	-483.0	147.0	True	True	False	promoter	promoter	True	3	3	5.077	-282.974	True
chrX	684396	684397	chr10_684396_684397	1000	.	False	False	-170.0	-4925.0	True	False	False	promoter	promoter	False	2	2	2.82	-143.177	True
chrXIV	707650	707651	chr14_707650_707651	1000	.	False	False	-137.0	42.0	True	True	False	promoter	promoter	True	3	3	4.089	-163.749	True
chrIV	1328633	1328634	chr4_1328633_1328634	1000	.	True	False	-149.0	-68.0	True	True	False	promoter	gene body	True	2	2	3.87	-172.334	True
chrVIII	227289	227290	chr8_227289_227290	1000	.	False	False	-148.0	242.0	True	True	False	promoter	promoter	True	3	3	4.06	-285.276	True
chrII	299989	299990	chr2_299989_299990	1000	.	False	False	-176.0	39.0	True	True	False	promoter	promoter	True	1	1	3.135	-91.301	True
chrI	45325	45326	chr1_45325_45326	1000	.	False	False	-303.0	-2445.0	True	False	False	promoter	promoter	False	3	3	4.233	-329.892	True
chrIV	251403	251404	chr4_251403_251404	1000	.	False	False	-162.0	165.0	True	True	False	promoter	promoter	True	2	2	3.609	-173.295	True
chrXIV	408184	408185	chr14_408184_408185	1000	.	False	False	-156.0	162.0	True	True	False	promoter	promoter	True	3	3	4.746	-219.166	True
chrIV	836225	836226	chr4_836225_836226	1000	.	False	False	-195.0	2.0	True	True	False	promoter	promoter	True	1	1	4.68	-57.447	True
chrXVI	901678	901679	chr16_901678_901679	1000	.	False	False	-365.0	120.0	True	True	False	promoter	promoter	True	3	3	3.912	-232.383	True
chrXI	571308	571309	chr11_571308_571309	1000	.	False	False	-303.0	-981.0	True	False	False	promoter	promoter	False	3	3	3.555	-243.746	True
chrI	108795	108796	chr1_108795_108796	1000	.	False	False	-244.0	81.0	True	True	False	promoter	promoter	True	3	3	4.465	-141.945	True
chrXIII	527657	527658	chr13_527657_527658	1000	.	False	False	-146.0	158.0	True	True	False	promoter	promoter	True	3	3	3.286	-160.095	True
chrIV	1031820	1031821	chr4_1031820_1031821	1000	.	False	False	-401.0	-1271.0	True	False	False	promoter	promoter	False	3	3	3.38	-212.983	True
chrVII	867650	867651	chr7_867650_867651	1000	.	False	False	-123.0	-1315.0	True	False	False	promoter	promoter	False	3	3	5.015	-199.584	True
chrX	407415	407416	chr10_407415_407416	1000	.	True	False	11.0	142.0	True	True	False	promoter	gene body	True	3	3	4.552	-187.193	True
chrXIV	622779	622780	chr14_622779_622780	1000	.	False	False	-135.0	-1467.0	True	False	False	promoter	promoter	False	3	3	3.225	-204.484	True
chrXV	544498	544499	chr15_544498_544499	1000	.	False	False	-353.0	-1835.0	True	False	False	promoter	promoter	False	2	2	3.755	-235.765	True
chrXV	544516	544517	chr15_544516_544517	1000	.	False	False	-371.0	-1817.0	True	False	False	promoter	promoter	False	2	2	3.755	-231.37	True
chrXIV	515067	515068	chr14_515067_515068	1000	.	False	False	-132.0	695.0	True	False	False	promoter	promoter	False	3	3	3.582	-175.314	True
chrIII	24644	24645	chr3_24644_24645	1000	.	False	False	-123.0	-613.0	True	False	True	promoter	promoter	False	3	3	3.634	-214.056	True
chrXV	817142	817143	chr15_817142_817143	1000	.	False	False	-149.0	-1193.0	True	False	False	promoter	promoter	False	3	3	3.373	-161.687	True
chrIV	1386656	1386657	chr4_1386656_1386657	1000	.	False	False	-159.0	140.0	True	True	False	promoter	promoter	True	3	3	4.104	-178.403	True
chrV	422083	422084	chr5_422083_422084	1000	.	True	False	363.0	-969.0	False	False	False	gene body	gene body	False	2	2	3.026	-116.106	True
chrXVI	828427	828428	chr16_828427_828428	1000	.	False	False	-287.0	-1595.0	True	False	False	promoter	promoter	False	0	0			False
chrXII	514949	514950	chr12_514949_514950	1000	.	False	False	-236.0	-842.0	True	False	False	promoter	promoter	False	2	2	3.784	-184.834	True
chrII	258154	258155	chr2_258154_258155	1000	.	False	False	-179.0	992.0	True	False	False	promoter	promoter	False	3	3	4.09	-208.714	True
chrXIII	659362	659363	chr13_659362_659363	1000	.	False	False	-164.0	-818.0	True	False	False	promoter	promoter	False	2	2	3.266	-136.755	True
chrX	663269	663270	chr10_663269_663270	1000	.	True	True	-210.0	-11.0	True	True	False	promoter	gene body	True	2	2	3.478	-103.518	True
chrIV	636207	636208	chr4_636207_636208	1000	.	True	False	320.0	32.0	False	True	False	gene end	gene body	True	3	3	3.865	-219.604	True
chrXV	631922	631923	chr15_631922_631923	1000	.	False	False	-171.0	-957.0	True	False	False	promoter	promoter	False	1	1	3.322	-8.723	False
chrVIII	422555	422556	chr8_422555_422556	1000	.	False	False	-269.0	-906.0	True	False	False	promoter	promoter	False	3	3	3.882	-376.575	True
chrXV	921406	921407	chr15_921406_921407	1000	.	False	False	-344.0	128.0	True	True	False	promoter	promoter	True	3	3	4.309	-181.55	True
chrIII	216497	216498	chr3_216497_216498	1000	.	False	False	-199.0	52.0	True	True	False	promoter	promoter	True	3	3	3.688	-166.0	True
chrII	47270	47271	chr2_47270_47271	1000	.	False	False	-90.0	92.0	True	True	False	promoter	promoter	True	3	3	3.305	-145.418	True
